job_id	created_at	status	trend_name	trend_id	input_path	output_path	output_path_original
7234498a-0515-4b8f-9f8d-b7c43fdc06f7	2026-02-03 21:30:18.606861+00	FAILED	Дерзкий кадр на капоте	a6449f4e-aa62-46de-a909-3f7ef88c7501			
96d938f8-90d5-43c8-83ab-abd6f6420a36	2026-02-04 09:09:16.961562+00	SUCCEEDED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42		/data/generated_images/96d938f8-90d5-43c8-83ab-abd6f6420a36/output.png	
cdfbf0a4-d4b8-44dd-8aea-041b76f83581	2026-02-04 09:10:34.430493+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
cfeb47cb-e4e4-4cf3-ad3e-4d8f4700ce2c	2026-02-04 09:11:11.723849+00	SUCCEEDED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42		/data/generated_images/cfeb47cb-e4e4-4cf3-ad3e-4d8f4700ce2c/output.png	
5166502a-c28f-4bf2-ab00-74e358cc3990	2026-02-04 09:12:46.03557+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
a25050de-36ea-4bb5-8f2f-ec8a25065db8	2026-02-04 09:13:05.454939+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
60d3d090-6fcd-4ce3-b9b2-6cf2d028729e	2026-02-04 11:53:33.156047+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
f9c95b51-ad11-4aa5-a29b-f7581481d690	2026-02-04 12:01:47.097926+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
0b62f11a-f850-4ba9-a6f9-173d094289fb	2026-02-04 12:28:44.827783+00	FAILED	ГТА Вайб 🎮	77cc3658-1aa2-4d50-9af8-b6f775722b42			
d2ed7581-1212-49e2-81a4-30b275bb9b85	2026-02-04 12:36:43.647108+00	SUCCEEDED	Школьная любовь	675d1b07-4f8d-4fb5-89c5-9479231bf2cd		/data/generated_images/d2ed7581-1212-49e2-81a4-30b275bb9b85/output.png	
